distance,cab_type,time_stamp,destination,source,price,surge_multiplier,id,name
0.94,Uber,2018-11-28T23:30,North End,North Station,4.5,1.0,39765,UberPool
0.94,Uber,2018-12-14T19:30,North End,North Station,4.5,1.0,437984,UberPool
0.63,Uber,2018-11-27T21:30,Financial District,South Station,4.5,1.0,1644,UberPool
0.63,Uber,2018-12-15T15:00,Financial District,South Station,4.5,1.0,10780,UberPool
0.63,Uber,2018-12-15T13:30,Financial District,South Station,4.5,1.0,21598,UberPool
0.63,Uber,2018-11-28T20:30,Financial District,South Station,4.5,1.0,25567,UberPool
0.63,Uber,2018-11-29T10:00,Financial District,South Station,4.5,1.0,29271,UberPool
0.63,Uber,2018-11-28T20:30,Financial District,South Station,4.5,1.0,42671,UberPool
0.63,Uber,2018-12-03T01:00,Financial District,South Station,4.5,1.0,43391,UberPool
0.63,Uber,2018-12-14T13:00,Financial District,South Station,4.5,1.0,45972,UberPool
0.63,Uber,2018-11-28T15:00,Financial District,South Station,4.5,1.0,48058,UberPool
0.63,Uber,2018-12-18T19:00,Financial District,South Station,4.5,1.0,49615,UberPool
0.63,Uber,2018-11-27T11:00,Financial District,South Station,4.5,1.0,52704,UberPool
0.63,Uber,2018-11-30T20:30,Financial District,South Station,4.5,1.0,56191,UberPool
0.63,Uber,2018-11-28T10:00,Financial District,South Station,4.5,1.0,58201,UberPool
0.63,Uber,2018-12-15T02:00,Financial District,South Station,4.5,1.0,61410,UberPool
0.63,Uber,2018-11-29T00:30,Financial District,South Station,4.5,1.0,62731,UberPool
0.63,Uber,2018-12-01T04:00,Financial District,South Station,4.5,1.0,63680,UberPool
0.63,Uber,2018-11-28T21:30,Financial District,South Station,4.5,1.0,63806,UberPool
0.63,Uber,2018-11-26T10:30,Financial District,South Station,4.5,1.0,66511,UberPool
